Nachname;Vorname;Strasse;Postleitzahl;Ort;Telefonnummer;Handynummer;Geburtsdatum;Email
Fischer;David;Seestrasse 21;8001;Basel;0448590960;0792225391;1984-02-14;David.Fischer@yahoo.com
Gerber;Felix;Talstrasse 59;9400;Lausanne;0441584559;0793397566;1957-04-24;Felix.Gerber@web.de
Wenger;Michaela;Tannenweg 16;9300;Solothurn;0443810194;0794549941;1983-04-23;Michaela.Wenger@web.de
Marti;Simon;Rosenweg 39;8050;Lausanne;0449800670;0797923742;1987-10-15;Simon.Marti@mail.com
Brunner;Kevin;Bahnhofstrasse 19;9000;Lugano;0447410655;0796512196;1987-01-05;Kevin.Brunner@mail.com
Zürcher;Max;Sonnenweg 32;9400;Basel;0448030590;0792915444;1987-04-11;Max.Zürcher@yahoo.com
Kunz;Maria;Bahnhofstrasse 46;9000;Solothurn;0449789370;0793741172;1958-10-21;Maria.Kunz@mail.com
Marti;Lena;Hauptstrasse 44;6300;Basel;0445735778;0791766783;1991-04-04;Lena.Marti@example.com
Weber;Nina;Lindenweg 36;9300;Neuenburg;0446681362;0798740150;1987-10-19;Nina.Weber@gmail.com
Brunner;Sophie;Rosenweg 82;9400;Baden;0444295640;0797977495;2000-08-25;Sophie.Brunner@example.com
Brunner;Thomas;Dorfstrasse 95;9300;Chur;0444853797;0797765114;1966-03-17;Thomas.Brunner@example.com
Marti;Michaela;Alpenblick 90;6003;Uster;0443005327;0793475351;1950-12-26;Michaela.Marti@gmail.com
Weber;Kevin;Schulstrasse 32;6300;Uster;0445768979;0796512196;1963-02-06;Kevin.Weber@gmail.com
Wenger;Markus;Poststrasse 38;9001;Lausanne;0448030590;0796131401;1974-02-10;Markus.Wenger@gmail.com
Fischer;Lena;Alpenblick 30;7000;Basel;0444633613;0796415432;1987-08-09;Lena.Fischer@gmail.com
Gerber;Julia;Ringstrasse 18;9300;Schaffhausen;0448630394;0795980038;1994-06-20;Julia.Gerber@web.de
Fischer;Thomas;Rosenweg 64;4001;Winterthur;0445349037;0791556601;1983-05-08;Thomas.Fischer@web.de
Müller;Katja;Wiesenweg 97;3000;St. Gallen;0444648586;0796786311;1961-12-19;Katja.Müller@yahoo.com
Weber;Simon;Lindenweg 34;9200;Solothurn;0447434931;0793711365;1986-04-06;Simon.Weber@yahoo.com
Weber;Laura;Poststrasse 42;3000;Biel;0443414722;0793571752;1967-03-08;Laura.Weber@web.de
Baumann;Max;Feldstrasse 48;9100;Freiburg;0446792481;0796530765;1999-10-23;Max.Baumann@mail.com
Müller;Kevin;Wiesenweg 76;9050;Zug;0441025317;0794957977;1968-03-07;Kevin.Müller@web.de
Huber;Laura;Feldstrasse 43;6003;Luzern;0442118266;0791310176;1983-10-09;Laura.Huber@example.com
Roth;Daniel;Talstrasse 22;9100;Biel;0443005313;0792169562;1990-10-12;Daniel.Roth@example.com
Lehmann;Kevin;Bahnhofstrasse 97;8001;St. Gallen;0445768979;0798551915;1976-06-12;Kevin.Lehmann@mail.com
Weber;Sophie;Schulstrasse 14;7000;Uster;0444633613;0798369565;1970-08-15;Sophie.Weber@example.com
Fischer;Kevin;Poststrasse 89;9001;Genf;0446079100;0799473499;1982-02-01;Kevin.Fischer@gmail.com
Marti;Peter;Gartenweg 82;9050;St. Gallen;0448145853;0794646901;1961-11-06;Peter.Marti@gmail.com
Gerber;Laura;Brunnenstrasse 2;9050;Luzern;0441578655;0791860658;1994-04-21;Laura.Gerber@web.de
Steiner;Max;Bahnhofstrasse 79;4001;Basel;0446677010;0795980038;1979-12-20;Max.Steiner@web.de
Gerber;Thomas;Weidstrasse 5;9300;Zürich;0445198625;0793739668;1963-04-20;Thomas.Gerber@gmail.com
Marti;Julia;Dorfstrasse 1;8304;Freiburg;0443810194;0799536333;1961-03-26;Julia.Marti@mail.com
Kunz;David;Rosenweg 45;6300;Sitten;0448537374;0795597697;1953-06-20;David.Kunz@example.com
Keller;Felix;Birkenweg 74;8400;Chur;0442302770;0795668668;1953-07-10;Felix.Keller@yahoo.com
Zürcher;Max;Seestrasse 27;9200;Lausanne;0442144055;0793472043;1989-01-14;Max.Zürcher@yahoo.com
Huber;Anna;Brunnenstrasse 3;9200;Freiburg;0448094381;0796530765;1955-01-18;Anna.Huber@web.de
Huber;Maria;Bahnhofstrasse 48;8400;Solothurn;0448630394;0799536333;1980-01-02;Maria.Huber@web.de
Bachmann;Thomas;Sonnenweg 62;3000;Luzern;0442801142;0791860658;1987-04-18;Thomas.Bachmann@yahoo.com
Huber;David;Dorfstrasse 9;8050;Lausanne;0447657653;0795109693;1960-02-08;David.Huber@web.de
Fischer;Thomas;Bahnhofstrasse 52;7000;Chur;0448094381;0793739668;1964-10-03;Thomas.Fischer@example.com
Zürcher;Sophie;Rosenweg 29;8500;Lugano;0442118266;0796512196;1956-05-17;Sophie.Zürcher@gmail.com
Lehmann;Maria;Talstrasse 42;8304;Genf;0447434931;0796087818;1985-09-03;Maria.Lehmann@web.de
Bachmann;Lukas;Ringstrasse 45;6300;Zug;0447704715;0794549941;1964-12-31;Lukas.Bachmann@gmail.com
Lehmann;Sandra;Feldstrasse 66;6003;Chur;0442217112;0797526210;1954-05-18;Sandra.Lehmann@gmail.com
Brunner;Katja;Bahnhofstrasse 17;1000;Genf;0446681362;0797526210;1960-12-13;Katja.Brunner@mail.com
